[LOG] System::create                           : Header version = 2.00.07. Current version = 2.00.07.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20007 (107206), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 00000241D6C67A38 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 3
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] Manager::readBank                        : fileversion = 125, compatVersion = 119 (oldest = 44, newest = 125)
[LOG] SoundI::release                          :  (000002421916A378)
[LOG] SoundI::release                          :     WaterSplash2 (00000241B3C4FAC8)
[LOG] SoundI::release                          :  (000002421916A208)
[LOG] SoundI::release                          :     Water_Splash_1 (00000241B3C4F928)
[LOG] SoundI::release                          :  (00000242191662C8)
[LOG] SoundI::release                          :     Water_Splash_2 (00000241B3C4F2A8)
[LOG] SoundI::release                          :  (0000024219166438)
[LOG] SoundI::release                          :     Water_Splash_3 (00000241B3C4D708)
[LOG] SoundI::release                          :  (0000024219166FB8)
[LOG] SoundI::release                          :     Water_Splash_4 (00000241B3C4D568)
[LOG] SoundI::release                          :  (000002421916A938)
[LOG] SoundI::release                          :     IceCrackFreeze (00000241B3C4D8A8)
[LOG] SoundI::release                          :  (000002421916B068)
[LOG] SoundI::release                          :     WaterSplash1 (00000241B3C50488)
[LOG] SoundI::release                          :  (0000024219168B08)
[LOG] SoundI::release                          :     WaterSplash3 (00000241B3C4FC68)
[LOG] SoundI::release                          :  (000002421916CA48)
[LOG] SoundI::release                          :     Squish_1 (0000024219112DE8)
[LOG] SoundI::release                          :  (0000024219167298)
[LOG] SoundI::release                          :     Squish_2 (0000024219114648)
[LOG] SoundI::release                          :  (000002421916C1A8)
[LOG] SoundI::release                          :     Bounce_1A (0000024219112C48)
[LOG] SoundI::release                          :  (000002421916C488)
[LOG] SoundI::release                          :     Bounce_1B (0000024219112AA8)
[LOG] SoundI::release                          :  (000002421916AAA8)
[LOG] SoundI::release                          :     Bounce_1C (00000242191110A8)
[LOG] SoundI::release                          :  (000002421916AC18)
[LOG] SoundI::release                          :     Bounce_1D (000002421910FEC8)
[LOG] SoundI::release                          :  (000002421912AB38)
[LOG] SoundI::release                          :     Bounce_2A (00000242191132C8)
[LOG] SoundI::release                          :  (000002421916B4B8)
[LOG] SoundI::release                          :     Bounce_2B (0000024219110D68)
[LOG] SoundI::release                          :  (000002421912B998)
[LOG] SoundI::release                          :     Bounce_2C (0000024219112F88)
[LOG] SoundI::release                          :  (000002421916C318)
[LOG] SoundI::release                          :     Bounce_2D (0000024219111F48)
[LOG] SoundI::release                          :  (00000242191683D8)
[LOG] SoundI::release                          :     Gem_1 (000002421910E328)
[LOG] SoundI::release                          :  (0000024219165B98)
[LOG] SoundI::release                          :     Gem_2 (000002421910F1C8)
[LOG] SoundI::release                          :  (000002421912B0F8)
[LOG] SoundI::release                          :     Stone_Heavy_2 (000002421910FD28)
[LOG] SoundI::release                          :  (00000242191679C8)
[LOG] SoundI::release                          :     Stone_Heavy_3 (0000024219110888)
[LOG] SoundI::release                          :  (000002421916C8D8)
[LOG] SoundI::release                          :     Stone_Heavy_4 (0000024219110548)
[LOG] SoundI::release                          :  (000002421916D2E8)
[LOG] SoundI::release                          :     Stone_Heavy_5 (0000024219111728)
[LOG] SoundI::release                          :  (0000024219167E18)
[LOG] SoundI::release                          :     Stone_Heavy_6 (000002421910F368)
[LOG] SoundI::release                          :  (000002421916D458)
[LOG] SoundI::release                          :     Stone_Heavy_7 (000002421910F848)
[LOG] SoundI::release                          :  (000002421916D178)
[LOG] SoundI::release                          :     Bubble_1 (00000242191113E8)
[LOG] SoundI::release                          :  (000002421916CBB8)
[LOG] SoundI::release                          :     Bubble_2 (0000024219110208)
[LOG] SoundI::release                          :  (000002421916D5C8)
[LOG] SoundI::release                          :     Cork_Pop_1 (0000024219112768)
[LOG] SoundI::release                          :  (0000024219167F88)
[LOG] SoundI::release                          :     RopeSnap_1 (000002421910E9A8)
[LOG] SoundI::release                          :  (000002421916A4E8)
[LOG] SoundI::release                          :     Fire_1 (000002421910ECE8)
[LOG] SoundI::release                          :  (00000242191680F8)
[LOG] SoundI::release                          :     ESM_Vegetation_Crunch_3_Organic_Raw_Gore_Horror_Zombie_Game (0000024219110068)
[LOG] SoundI::release                          :  (0000024219168C78)
[LOG] SoundI::release                          :     ESM_Vegetation_Crunch_4_Organic_Raw_Gore_Horror_Zombie_Game (0000024219111C08)
[LOG] SoundI::release                          :  (000002421916CE98)
[LOG] SoundI::release                          :     ESM_Vegetation_Crunch_5_Organic_Raw_Gore_Horror_Zombie_Game (00000242191106E8)
[LOG] SoundI::release                          :  (000002421916C5F8)
[LOG] SoundI::release                          :     ESM_Vegetation_Crunch_7_Organic_Raw_Gore_Horror_Zombie_Game (0000024219112288)
[LOG] SoundI::release                          :  (0000024219168828)
[LOG] SoundI::release                          :     ESM_Vegetation_Crunch_Organic_Raw_Gore_Horror_Zombie_Game (00000242191125C8)
[LOG] SoundI::release                          :  (0000024219167858)
[LOG] SoundI::release                          :     ESM_Vegetation_Peel_5_Wet_Juicy_Horror_Zombie_Creature_Cinematic_Death_Game (0000024219112428)
[LOG] SoundI::release                          :  (0000024219166E48)
[LOG] SoundI::release                          :     ESM_Vegetation_Peel_Wet_Juicy_Horror_Zombie_Creature_Cinematic_Death_Game (000002421910F508)
[LOG] SoundI::release                          :  (0000024219168548)
[LOG] SoundI::release                          :     Teleport_Short_1 (000002421910E188)
[LOG] SoundI::release                          :  (000002421916B908)
[LOG] SoundI::release                          :     PlateButton_3 (0000024219113C88)
[LOG] SoundI::release                          :  (000002421916B348)
[LOG] SoundI::release                          :     IceDebrisCrunch (00000241B3C4FFA8)
[LOG] SoundI::release                          :  (0000024219168F58)
[LOG] SoundI::release                          :     IceShatter_1 (0000024219110A28)
[LOG] SoundI::release                          :  (000002421916CD28)
[LOG] SoundI::release                          :     WaterDrips_1 (00000242191120E8)
[LOG] SoundI::release                          :  (000002421916B628)
[LOG] SoundI::release                          :     WaterDrips_2 (000002421910F9E8)
[LOG] SoundI::release                          :  (0000024219165A28)
[LOG] SoundI::release                          :     WaterDrips_3 (0000024219110BC8)
[LOG] SoundI::release                          :  (0000024219167578)
[LOG] SoundI::release                          :     WaterDrips_4 (000002421910E808)
[LOG] SoundI::release                          :  (000002421916BD58)
[LOG] SoundI::release                          :     WaterDrips_5 (000002421910E4C8)
[LOG] SoundI::release                          :  (000002421912A858)
[LOG] SoundI::release                          :     WaterDrips_6 (0000024219114168)
[LOG] SoundI::release                          :  (000002421916D008)
[LOG] SoundI::release                          :     WaterDrips_7 (000002421910F6A8)
